row,col,lat,lon,mf_score
513,145,32.82594142213629,-103.97911846148475,0.40908207252261597
513,146,32.82587978872121,-103.9787380054558,0.43843602940558646
514,144,32.82564941876703,-103.979590623076,0.24893960795571968
514,145,32.825587787789324,-103.97921014655344,0.4323599373320397
514,146,32.82552615049317,-103.97882969324628,0.022164667859370994
515,144,32.825295787759046,-103.9796823064534,0.2020539259294017
515,145,32.825234152899675,-103.97930183265139,0.5323295806328631
515,146,32.825172511722215,-103.9789213820647,0.10771753045536057
516,144,32.82494215620983,-103.97977399086119,0.2292299013969475
516,145,32.82488051746859,-103.97939351977838,0.5005892011072017
516,146,32.82481887240961,-103.97901307191087,0.029794722728418536
517,145,32.824526881497334,-103.97948520793418,0.45149041006237706
517,146,32.8244652325566,-103.97910476278454,0.43546163739395893
518,145,32.82417324498713,-103.97957689711853,0.06734509113085711
518,146,32.82411159216443,-103.97919645468542,0.49618941558945573
519,146,32.82375795123435,-103.97928814761333,0.3135803334995199
525,163,32.8205871692596,-103.97338492689835,0.0916313300544715
525,164,32.8205253754317,-103.97300491707125,0.05554852358742787
525,397,32.80594836737627,-103.88494464866118,0.56878121019038
525,398,32.80588508063726,-103.88456957123776,0.44835078845616094
526,162,32.82029544161249,-103.97385552837069,0.46098823614683615
526,163,32.820233650170586,-103.97347549825987,0.43549111194258067
526,164,32.820172052535064,-103.97309890839894,0.4233297776079566
526,165,32.820110248372536,-103.97271892344459,0.053858096227720365
526,397,32.8055939437709,-103.88503614314803,0.4984492763481208
527,155,32.82037521785743,-103.97659670791012,0.38226228971827364
527,156,32.82031328838373,-103.97621349457498,0.29328445539109654
527,161,32.82000480034231,-103.97431907244194,0.014051949304346082
527,162,32.819943027344586,-103.9739392983152,0.6869650829404649
527,163,32.81988143251669,-103.97356268937607,0.5880333940045139
527,164,32.81981963058528,-103.97318268452432,0.7669102910729501
527,165,32.8197580227546,-103.9728061188621,0.7504583195716286
527,166,32.81969620810469,-103.9724261591443,-0.09959184938520467
528,154,32.8200845798997,-103.97706066464629,0.12459589858973698
528,155,32.82002283083084,-103.97668045696561,0.6203807739411915
528,156,32.81996107546445,-103.97630027241912,0.46877835100542264
528,161,32.81965240560105,-103.9744031161606,0.07936960603636924
528,162,32.81959061233211,-103.97402306927532,0.6816823659558421
528,163,32.819529013880256,-103.97364646337027,0.7291306453072459
528,164,32.81946740885627,-103.97326987863943,0.7839621258928436
528,165,32.81940559643657,-103.97288989903413,0.8889791009000936
528,166,32.819343978411865,-103.97251335755783,0.18078883664063386
528,167,32.81928215327568,-103.97213342306355,0.0860255562155747
529,153,32.819794145980275,-103.97752806647142,-0.057367591033880706
529,154,32.81973236064572,-103.9771471897905,0.45429611865830455
529,155,32.819670443062314,-103.9767642070458,0.47066806666041205
529,156,32.81960868363457,-103.97638402564348,0.23336490371276145
529,157,32.8195469179109,-103.97600386736585,-0.01680971283757195
529,161,32.81929980736382,-103.97448372427884,0.06079059708571322
529,162,32.819238196576336,-103.97410684125074,0.3696621103855064
529,163,32.81917661109742,-103.9737305198365,0.7336514337152138
529,164,32.81911499753715,-103.97335385491601,0.8452301042565427
529,165,32.81905333474583,-103.97297648702863,1.0392231825087592
529,166,32.818991547726824,-103.97259714177339,0.31131388682750843
529,167,32.81892971853319,-103.97221721042133,0.17058837786806008
530,144,32.81999744634859,-103.98103831886151,0.07730820133614442
530,145,32.81993575192433,-103.98065788378604,0.44312831528695534
530,146,32.81987405118727,-103.98027747192481,0.32194879487755995
530,147,32.81981234413932,-103.97989708327083,0.1306701088419778
530,148,32.819750630782295,-103.97951671781696,0.04752560189423816
530,149,32.81968870716299,-103.9791329446911,0.14714524496909923
530,153,32.819441766030096,-103.97761181117959,0.22755426027899092
530,154,32.819380014994465,-103.97723158570255,0.755842917764874
530,155,32.81931805455313,-103.97684795815042,0.8956186749270099
530,156,32.819256291063844,-103.97646777989091,0.4764895420145718
530,157,32.81919452127899,-103.9760876247559,0.17481769164502883
530,161,32.81894752887859,-103.97456976575087,0.14573597155034473
530,162,32.81888578007856,-103.97419061424117,0.3525874887187402
530,163,32.81882423451126,-103.97381503192655,0.5362693145830206
530,164,32.81876263526006,-103.97343867411186,0.4748563522230007
530,165,32.81870094326382,-103.97306087822923,0.4971371858920023
530,166,32.818639116298996,-103.97268092699859,0.061445355572519476
530,167,32.8185772830477,-103.9723009987874,0.02915455071453503
531,144,32.819645307768305,-103.98112547166325,-0.006575828374037156
531,145,32.8195834041828,-103.98074160426947,0.28783653033518325
531,146,32.81952169938039,-103.98036119555154,0.7187113524575974
531,147,32.81945998826743,-103.97998081004067,0.4659343916269143
531,148,32.81939827084577,-103.97960044772975,0.4258196312997125
531,149,32.81933654711714,-103.97922010861129,-0.004409617010041281
531,153,32.81908938534094,-103.97769555691457,0.1919571582999204
531,154,32.81902763024283,-103.9773153345794,0.48661710057256685
531,155,32.8189656653046,-103.97693171027913,0.8379542325854947
531,156,32.818903966334624,-103.97655268969301,0.6824684562103913
531,157,32.81884232716703,-103.97617480639398,0.20524485308066173
531,161,32.81859516828722,-103.9746544257063,0.11303572921785461
531,162,32.81853347371914,-103.97427625957576,0.22584293176994308
531,163,32.81847195592647,-103.97390120902195,0.2770869644782661
531,164,32.818410339888956,-103.97352463244577,0.18780133144802744
531,165,32.81834851515269,-103.97314466132406,0.041984000021826826
531,166,32.81828668412967,-103.97276471323313,0.4152453084434252
531,167,32.81822499174718,-103.97238723931939,0.22776024861048622
531,168,32.81816320492963,-103.972008298986,0.1417625099801625
532,134,32.81990977569372,-103.98501697202002,0.16866226201404816
532,135,32.819848210473815,-103.98463754698727,0.07758216040582937
532,136,32.81978645163906,-103.98425502619423,-0.007289913757294504
532,138,32.81966325368178,-103.98349569717053,0.05033038438244098
532,139,32.81960158875989,-103.98311512708234,0.275357925737718
532,140,32.81953991751308,-103.9827345802445,-0.06311690743597549
532,144,32.81929296379145,-103.98120918993152,0.1277331711448644
532,145,32.81923126109444,-103.9808287602003,0.38589724718350993
532,146,32.81916944330786,-103.98044653401237,0.4586458893353702
532,147,32.81910763725276,-103.9800646314582,0.5562473277462809
532,148,32.8190459101725,-103.97968417867575,0.2981969624530896
532,149,32.8189841823794,-103.97930384269871,-0.07311078604316995
532,153,32.81873700391409,-103.97777930367606,0.07895812507352035
532,154,32.818675244753315,-103.97739908448136,0.18263646597496164
532,155,32.818613479295124,-103.97701888842928,0.2704226631648886
532,156,32.81855170754083,-103.97663871551075,0.20418198237564286
532,157,32.81848992949167,-103.97625856571639,0.07876764443427536
532,158,32.818428145148815,-103.97587843903672,0.23575450159100358
532,161,32.81824305398719,-103.97474324118696,0.15106972424856838
532,162,32.81818137947777,-103.97436548242331,0.37165821331303756
532,163,32.81811973760444,-103.9739884044375,0.4449136363652421
532,164,32.81805791509656,-103.97360841341244,0.18396789897816898
